"","meses_no_local_alocado","churn","idade","anos_formacao","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","tx_pop_ocupada_2019","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1",67,"permanece",35,3.16769336071184,"Não",0,2.34328358208955,"NÃO",9.47368421052632,8.51315789473684,4.81578947368421,NA,"Norte",91888,"MP",16291.3,66,11.356216263277,366.57,0,33.946,4.3,103.676,5.703,9.125,636
"2",8,"migrou",30,0.0848733744010951,"Não",0,1,"NÃO",13.375,1,1.625,1,"Nordeste",15816,"PP-I",12145.64,61,15.8447142134547,683.09,0,64.522,4.7,5021.768,18.54,4.635,114
"3",68,"permanece",75,42.0835044490075,"Não",0,1,"SIM",9.41176470588235,3.5625,1.88970588235294,1.33823529411765,"Nordeste",25397,"PP-II",10264.33,120,8.65850297279206,626.3,0,37.161,4.6,3097.942,0,4.144,147
"4",35,"migrou",37,4.08487337440109,"Não",0,1,"NÃO",7.77142857142857,1,1,NA,"Nordeste",36102,"PP-II",9291.75,111,3.40701346185807,457.94,0,19.552,5.3,3190.453,2.464,4.928,155
"5",67,"migrou",62,28.9144421629021,"Não",0,1,"SIM",5.32835820895522,2.01492537313433,1,1,"Nordeste",21372,"PP-II",15723.83,109,17.0597042859817,614.94,0,24.491,4,4048.908,12.291,4.097,158
"6",67,"migrou",39,0.082135523613963,"Não",0,1,"NÃO",6.79545454545455,2.77272727272727,1.09090909090909,1.09090909090909,"Nordeste",21372,"PP-II",15723.83,109,17.0597042859817,614.94,0,24.491,4,4048.908,12.291,4.097,158
"7",18,"migrou",29,0.167008898015058,"Não",0,1,"NÃO",8,1,1,1,"Nordeste",4092,"PP-I",11400.33,67,10.9481915933529,801.87,0,0,4.1,3399.432,23.952,23.952,128
"8",42,"migrou",34,0.0848733744010951,"Não",0,1.02380952380952,"SIM",6.21428571428571,3.27380952380952,1.26190476190476,NA,"Nordeste",23907,"PP-II",14107.99,143,11.4234324674781,720.53,0,40.442,6.3,0,4.044,20.218,112
"9",9,"migrou",33,0.58590006844627,"Não",0,1,"NÃO",6,2,1,1,"Nordeste",23907,"PP-II",14107.99,143,11.4234324674781,720.53,0,40.442,6.3,0,4.044,20.218,112
"10",33,"migrou",35,0.58590006844627,"Não",0,1,"NÃO",9.93939393939394,2.95454545454545,1,1.57575757575758,"Nordeste",23907,"PP-II",14107.99,143,11.4234324674781,720.53,0,40.442,6.3,0,4.044,20.218,112
"11",69,"permanece",57,27.8329911019849,"Sim",3.33333333333333,2.05882352941176,"NÃO",17.5,3.02702702702703,2.17567567567568,NA,"Nordeste",21844,"PP-II",9759.12,174,4.38106573887566,528.75,0,27.76,4,290.639,7.928,3.964,285
"12",67,"migrou",40,9.08418891170431,"Não",0,1,"SIM",8.40298507462687,6.01119402985075,2.71268656716418,2.97761194029851,"Nordeste",23857,"PP-II",12398.77,128,16.6953095527518,651,0,32.465,4.1,3121.593,4.057,4.057,80
"13",9,"migrou",36,0.0848733744010951,"Não",0,1,"NÃO",6,4,1.11111111111111,1,"Nordeste",10812,"PP-I",7224.89,90,6.64076951535331,477.96,0,8.603,4.2,10668.792,17.255,8.627,277
"14",68,"migrou",31,0,"Não",0,1,"NÃO",7.54411764705882,2.37132352941176,1.08823529411765,1,"Nordeste",23823,"PP-II",8793.34,121,7.41300423960039,615.13,0,28.69,4.3,6616.055,12.272,4.091,237
"15",52,"migrou",32,0.58590006844627,"Sim",0.25,1,"NÃO",6.95238095238095,2,1,NA,"Nordeste",58650,"MP",12462.07,87,11.464620630861,822.81,0,25.124,5,0,15.744,9.446,164
"16",20,"migrou",39,0.0848733744010951,"Não",0,1,"NÃO",7,1.75,1,1,"Nordeste",58650,"MP",12462.07,87,11.464620630861,822.81,0,25.124,5,0,15.744,9.446,164
"17",33,"migrou",36,0.0848733744010951,"Não",0,1,"NÃO",7.54545454545455,1.39393939393939,1,NA,"Nordeste",30604,"PP-II",8434.58,140,7.57417331067834,614.54,0,37.198,4.6,5653.043,3.114,12.457,216
"18",11,"migrou",37,0.0848733744010951,"Não",0,1,"NÃO",6,1,1,1,"Nordeste",31786,"PP-II",16447.93,192,6.40848172151262,631.02,0,32.209,3.9,3268.517,5.88,2.94,127
"19",29,"migrou",33,0,"Não",0,1,"NÃO",7.31034482758621,2.55172413793103,1,NA,"Nordeste",19032,"PP-I",15589.38,216,5.7219419924338,619.1,0,25.025,4.6,2989.385,0,10.057,113
"20",67,"migrou",39,1.16632443531828,"Não",0,1,"SIM",5.76119402985075,2.85074626865672,1,1,"Nordeste",38053,"PP-II",12101.51,102,13.8412214542874,755.56,63.1,22.64,6.7,3487.132,11.374,6.824,98
"21",48,"migrou",36,3.91512662559891,"Não",0,1,"SIM",7,1.52083333333333,1.60416666666667,1.14583333333333,"Nordeste",59280,"MP",15997.01,128,8.53070175438597,703.3,68.83,30.483,4.7,2533.336,3.055,4.583,77
"22",12,"migrou",29,0,"Não",0,1,"NÃO",7.33333333333333,2.41666666666667,1,1.08333333333333,"Nordeste",59280,"MP",15997.01,128,8.53070175438597,703.3,68.83,30.483,4.7,2533.336,3.055,4.583,77
"23",8,"migrou",31,0.0848733744010951,"Não",0,1,"NÃO",14.5,2.375,2.0625,1.375,"Nordeste",59280,"MP",15997.01,128,8.53070175438597,703.3,68.83,30.483,4.7,2533.336,3.055,4.583,77
"24",13,"migrou",52,12.4188911704312,"Não",0,1,"NÃO",23.2307692307692,5.98076923076923,3,2,"Norte",35447,"PP-II",12949.84,155,6.56190932942139,535.08,0,32.062,5.3,0,8.83,2.943,1555
"25",50,"migrou",50,12.0848733744011,"Não",0,1.04,"SIM",11,3.24423076923077,1.74423076923077,NA,"Norte",57473,"MP",13105.57,166,6.34384841577784,649.37,0,18.155,3.7,3024.193,16.666,3.704,698
