"","meses_no_local_alocado","churn","idade","atuacao_previa_no_municipio","anos_atuacao_previa_no_municipio","media_vinculos_mes","Prorrogado","m_agente_saude","m_tec_aux_enf","m_enfermeiro","m_dentista","regiao_destino","populacao","porte","pib_percapita","variacao_pib","pop_ocupada_2019","var_taxa_ocupacao","orcamento_saude","esgotamento_sanitario","taxa_homicidio","ideb_anosfinais","investimento_infraestrutura","equipamentos_esportivos","equipamentos_culturais","distancia_capital"
"1",66,"permanece",35,"Não",0,2.34848484848485,"NÃO",9.47368421052632,8.51315789473684,4.81578947368421,NA,"Norte",91888,"MP",16291.3,66,10435,13.2261201652388,366.57,0,33.946,4.3,103.676,5.703,9.125,636
"2",8,"migrou",30,"Não",0,1,"NÃO",13.375,1,1.625,1,"Nordeste",15816,"PP-I",12145.64,61,2506,-46.6180858567569,683.09,0,64.522,4.7,5021.768,18.54,4.635,114
"3",67,"permanece",75,"Não",0,1,"SIM",9.44776119402985,3.58582089552239,1.90298507462687,1.34328358208955,"Nordeste",25397,"PP-II",10264.33,120,2199,97.4190995035096,626.3,0,37.161,4.6,3097.942,0,4.144,147
"4",35,"migrou",37,"Não",0,1,"NÃO",7.77142857142857,1,1,NA,"Nordeste",36102,"PP-II",9291.75,111,1230,-15.8591817111975,457.94,0,19.552,5.3,3190.453,2.464,4.928,155
"5",66,"migrou",62,"Não",0,1,"SIM",5.31818181818182,2,1,1,"Nordeste",21372,"PP-II",15723.83,109,3646,3.15540815916013,614.94,0,24.491,4,4048.908,12.291,4.097,158
"6",66,"migrou",39,"Não",0,1,"NÃO",6.83720930232558,2.7906976744186,1.09302325581395,1.09302325581395,"Nordeste",21372,"PP-II",15723.83,109,3646,3.15540815916013,614.94,0,24.491,4,4048.908,12.291,4.097,158
"7",18,"migrou",29,"Não",0,1,"NÃO",8,1,1,1,"Nordeste",4092,"PP-I",11400.33,67,448,19.4916911045943,801.87,0,0,4.1,3399.432,23.952,23.952,128
"8",42,"migrou",34,"Não",0,1.02380952380952,"SIM",6.21428571428571,3.27380952380952,1.26190476190476,NA,"Nordeste",23907,"PP-II",14107.99,143,2731,39.2070226456079,720.53,0,40.442,6.3,0,4.044,20.218,112
"9",9,"migrou",33,"Não",0,1,"NÃO",6,2,1,1,"Nordeste",23907,"PP-II",14107.99,143,2731,39.2070226456079,720.53,0,40.442,6.3,0,4.044,20.218,112
"10",33,"migrou",35,"Não",0,1,"NÃO",9.93939393939394,2.95454545454545,1,1.57575757575758,"Nordeste",23907,"PP-II",14107.99,143,2731,39.2070226456079,720.53,0,40.442,6.3,0,4.044,20.218,112
